國文,英文,數學,地理,歷史
88,74,78,55,56
92,58,57,51,76
92,78,84,66,52
93,67,53,53,97
87,75,69,51,95
67,82,51,82,58
55,50,100,75,80
54,89,76,76,53
60,87,60,50,66
65,89,55,57,73
91,77,92,51,73
65,93,77,89,79
89,98,77,71,79
68,93,76,82,79
52,96,98,75,69
64,53,59,60,81
67,80,77,61,73
96,54,92,58,74
51,66,82,58,82
84,73,56,78,52
84,94,59,68,51
78,67,67,81,74
68,50,53,78,74
90,100,84,82,80
72,66,91,78,60
75,68,81,99,67
59,85,95,89,57
78,85,81,73,54
87,92,91,80,69
58,59,50,67,80
84,76,63,64,85
60,88,60,63,65
76,81,62,82,93
87,51,55,71,72
69,69,61,99,69
54,90,93,77,68
51,93,82,73,61
74,50,58,52,56
59,72,65,87,89
52,52,66,92,90
85,80,65,83,77
75,70,86,61,62
80,84,100,56,67
98,100,100,51,58
95,54,63,53,67
96,72,73,72,71
77,79,86,76,50
92,74,89,82,76
78,51,83,60,97
54,72,85,99,72
